"Points:0","Points:1","Points:2"
8.25,0.5,238.23927
8.25,0.5,238.18926
8.25,0.5,238.13926
8.25,0.5,238.08926
8.25,0.5,238.03926
8.25,0.5,237.98927
8.25,0.5,237.93926
8.25,0.5,237.88926
8.25,0.5,237.83926
8.25,0.5,237.78926
8.25,0.5,237.73927
8.25,0.5,237.68926
5.75,0.5,237.54413
5.75,0.5,237.49413
5.75,0.5,237.44412
5.75,0.5,237.39412
5.75,0.5,237.21913
5.75,0.5,236.66913
5.75,0.5,235.61913
5.75,0.5,234.06912
5.75,0.5,232.01912
5.75,0.5,229.46913
5.75,0.5,226.41913
5.75,0.5,222.86913
6.25,0.5,237.56306
6.25,0.5,237.51306
6.25,0.5,237.46306
6.25,0.5,237.41306
6.25,0.5,237.23806
6.25,0.5,236.68806
6.25,0.5,235.63806
6.25,0.5,234.08806
6.25,0.5,232.03806
6.25,0.5,229.48806
6.25,0.5,226.43806
6.25,0.5,222.88806
6.75,0.5,237.58199
6.75,0.5,237.53199
6.75,0.5,237.48199
6.75,0.5,237.43199
6.75,0.5,237.25699
6.75,0.5,236.70699
6.75,0.5,235.65699
6.75,0.5,234.10699
6.75,0.5,232.05699
6.75,0.5,229.50699
6.75,0.5,226.45699
6.75,0.5,222.90699
7.25,0.5,237.60092
7.25,0.5,237.55092
7.25,0.5,237.50093
7.25,0.5,237.45093
7.25,0.5,237.27592
7.25,0.5,236.72592
7.25,0.5,235.67592
7.25,0.5,234.12593
7.25,0.5,232.07593
7.25,0.5,229.52592
7.25,0.5,226.47592
7.25,0.5,222.92592
7.75,0.5,237.61988
7.75,0.5,237.56988
7.75,0.5,237.51988
7.75,0.5,237.46988
7.75,0.5,237.29488
7.75,0.5,236.74488
7.75,0.5,235.69488
7.75,0.5,234.14488
7.75,0.5,232.09488
7.75,0.5,229.54488
7.75,0.5,226.49488
7.75,0.5,222.94488
8.25,0.5,237.63926
8.25,0.5,237.58926
8.25,0.5,237.53926
8.25,0.5,237.48927
8.25,0.5,237.31426
8.25,0.5,236.76426
8.25,0.5,235.71426
8.25,0.5,234.16426
8.25,0.5,232.11427
8.25,0.5,229.56426
8.25,0.5,226.51426
8.25,0.5,222.96426
8.75,0.5,239.45906
8.75,0.5,239.40906
8.75,0.5,239.35906
8.75,0.5,239.30906
8.75,0.5,239.25906
8.75,0.5,239.20906
8.75,0.5,239.15906
8.75,0.5,239.10906
8.75,0.5,239.05906
8.75,0.5,239.00906
8.75,0.5,238.95906
8.75,0.5,238.90906
8.75,0.5,238.85906
8.75,0.5,238.80906
8.75,0.5,238.75906
8.75,0.5,238.70906
8.75,0.5,238.65906
8.75,0.5,238.60906
8.75,0.5,238.55906
8.75,0.5,238.50906
8.75,0.5,238.45906
8.75,0.5,238.40906
8.75,0.5,238.35906
8.75,0.5,238.30906
8.75,0.5,238.25906
8.75,0.5,238.20906
8.75,0.5,238.15906
8.75,0.5,238.10906
8.75,0.5,238.05906
8.75,0.5,238.00906
8.75,0.5,237.95906
8.75,0.5,237.90906
8.75,0.5,237.85906
8.75,0.5,237.80906
8.75,0.5,237.75906
8.75,0.5,237.70906
9.25,0.5,239.47886
9.25,0.5,239.42886
9.25,0.5,239.37886
9.25,0.5,239.32886
9.25,0.5,239.27886
9.25,0.5,239.22886
9.25,0.5,239.17886
9.25,0.5,239.12886
9.25,0.5,239.07886
9.25,0.5,239.02886
9.25,0.5,238.97886
9.25,0.5,238.92886
9.25,0.5,238.87886
9.25,0.5,238.82886
9.25,0.5,238.77886
9.25,0.5,238.72886
9.25,0.5,238.67886
9.25,0.5,238.62886
9.25,0.5,238.57886
9.25,0.5,238.52886
9.25,0.5,238.47886
9.25,0.5,238.42886
9.25,0.5,238.37886
9.25,0.5,238.32886
9.25,0.5,238.27886
9.25,0.5,238.22886
9.25,0.5,238.17886
9.25,0.5,238.12886
9.25,0.5,238.07886
9.25,0.5,238.02886
9.25,0.5,237.97886
9.25,0.5,237.92886
9.25,0.5,237.87886
9.25,0.5,237.82886
9.25,0.5,237.77886
9.25,0.5,237.72886
9.75,0.5,239.49866
9.75,0.5,239.44866
9.75,0.5,239.39866
9.75,0.5,239.34866
9.75,0.5,239.29866
9.75,0.5,239.24866
9.75,0.5,239.19866
9.75,0.5,239.14866
9.75,0.5,239.09866
9.75,0.5,239.04866
9.75,0.5,238.99866
9.75,0.5,238.94866
9.75,0.5,238.89866
9.75,0.5,238.84866
9.75,0.5,238.79866
9.75,0.5,238.74866
9.75,0.5,238.69866
9.75,0.5,238.64866
9.75,0.5,238.59866
9.75,0.5,238.54866
9.75,0.5,238.49866
9.75,0.5,238.44866
9.75,0.5,238.39866
9.75,0.5,238.34866
9.75,0.5,238.29866
9.75,0.5,238.24866
9.75,0.5,238.19866
9.75,0.5,238.14866
9.75,0.5,238.09866
9.75,0.5,238.04866
9.75,0.5,237.99866
